review_text,rating,restaurant,area,date,likes,label
"距離上一次來「台南花園夜市」
已經是好幾年前了
印象中就是大、非常大！
很多遊戲攤位跟美食
還好沒有太大變化～

最有印象的是日本🇯🇵的章魚燒🐙
非常好吃👍🏼排隊的人潮也很多
走過路過都會看到大家手上都拿一盒

再來是木瓜牛奶🥛
雖然沒有拍到
但是很大杯、又濃又香而且還很平價

其他還有很多美食
可是因為時間關係來不及一一排隊
（這裡停車位很多很方便

缺點
跟很多人說的一樣垃圾桶🚮太少
全都聚集在四週角落
中間逛的時候吃完的垃圾都要一路拿到底",5,台南花園夜市,花園夜市,5 天前,0,2
"好久沒來花園夜市了
人潮少的有點讓我震驚
跟兩三年前記憶中的人擠人完全不一樣 …",5,台南花園夜市,花園夜市,1 個月前,0,2
"有人唱歌也可以點歌
我是從台中下來的，有些東西沒看過挺新鮮☺️

這邊的食物分區比較混亂
主食跟小吃混在一起
建議可以關東煮、牛排、蒙古烤肉這些主食放一區比較好挑
吃完關東煮才發現有蒙古烤肉😭

比較特別的是「白糖粿」、「小龍蝦」

玩的真的是大推啊！
各種商家林立
除了多數夜市都會有的摸麻將、射氣球

還有彈乒乓球、丟罐子、丟九宮格、戳洞通通有獎、投籃、射飛鏢🎯、骰🎲香腸、打彈珠、遊戲台、撞球…眼花撩亂😵‍💫、琳琅滿目

這邊的衣服區如果有需求很推薦來逛👍",5,台南花園夜市,花園夜市,1 個月前,0,2
"夜市裡面如同大家說的垃圾桶很少，應該是根本沒有吧！最後只有在男廁旁邊看到3個垃圾車。
然後廁所大排長龍。
在裡面買了4種小吃⋯ …",3,台南花園夜市,花園夜市,1 個月前,0,1
"台南花園夜市真的很好逛！現場還有人駐唱可以點歌，整個氣氛超熱鬧～在這邊看到不少沒見過的小吃和遊戲攤位，覺得很新鮮☺️
吃的部分幾乎是應有盡有，特別推薦「宏咖椰吐司」、「白糖粿」跟「小龍蝦」，邊走邊吃很過癮。逛一圈就能從正餐、點心到飲料全部滿足。
玩的更是大推！除了常見的射氣球、摸麻將之外，還有彈乒乓球、丟罐子、九宮格、戳洞通通有獎、投籃、射飛鏢、打彈珠、遊戲台等等，選擇多到眼花撩亂😵‍💫，不管大人小孩都能玩得很開心。
衣服攤位也很多，如果想買平價穿搭或挖寶，很適合慢慢逛。整體來說好吃、好玩、好逛又有表演，是會想再訪的夜市！👍",5,台南花園夜市,花園夜市,1 個月前,0,2
"大家到花園夜市還不知道怎麼吃嗎❓這次分享幾家我平常就會逛的攤位給大家，現在每個週五剛好有活動，順便在文末分享給大家🤩

①東東拔絲地瓜 …",5,台南花園夜市,花園夜市,2 個月前,0,2
"花園夜市的周邊規劃相當完善，除了有2000餘坪的停車場，解決遊客停車的問題，當到了營業時間周邊道路也安排了許多保全人員指揮交通，讓車潮人潮井然有序。
花園夜市共劃分美食小吃、流行服飾、精品百貨、休閒娛樂等四大區域，而各攤位為了吸引目光，多會在攤販上方豎起高高的商家廣告旗幟，旗海飄揚構成一大特色，有如戰國時代軍隊氣勢，是來到臺南市夜晚消磨時間的休閒好去處。",4,台南花園夜市,花園夜市,2 個月前,0,2
"重點印象 有三間
第一間 一定要給 新鮮番茄沾醬的阿姨了 是記憶中小時候的味道 真的超讚的 人情味實足 現場可以內用 醬不夠可以加 吃不完又可以幫忙外帶 貼心 又NICE!

第二間是泡花果茶的大哥 詳細的介紹 也都給試喝 每個功效產品也都講的實在也清楚，可以加賴 送外縣市

第三間就是 1993 耳環店！可以幫忙免費改夾的或耳針 耳掛，耳環款式 如可以接受的範圍都能幫忙免費改 ，而且一對耳環也不貴 又有特色

有買香魚 爆蛋的一隻200元 還能接受 超好吃的，阿姨也不馬虎，烤的酥酥脆脆的 檸檬胡椒的香氣 足讚👍
也有買自己來紅茶鮮奶店，自帶環保杯 阿伯有折價～～～冬瓜羊奶很讚 喝拎

希望花園夜市 有蒙古烤肉😆還有燒烤店
還有看到好幾家一份牛排70元 不敢買 不知道應該是重組肉，但是 價格看上去 就是實在實在的啦🔥
第一次去動線也很不清楚 停車要周圍找 停車場要停車的車很多，紅線不能停（會拖掉）小女子親眼目睹被拖走😖",5,台南花園夜市,花園夜市,1 個月前,0,2
"週五目前有發消費券活動
花園夜市各種小吃 我最喜歡吃黃家烤魚
冠軍雞蛋糕 花生卷冰淇淋🍦附近有公園好停車 …",5,台南花園夜市,花園夜市,2 個月前,0,2
"不愧是號稱 台南最大的夜市——花園夜市，不論是外圍的燈飾造景，還是夜市裡整體的攤位配置與動線規劃，都讓人一走進來就覺得非常驚艷，氣氛真的很熱鬧。

這次我們吃了一攤 鮮蝦腸粉，是現點現做的，製作過程看得到，吃起來新鮮又有口感，老闆也非常親切。 …",5,台南花園夜市,花園夜市,2 個月前,0,2
