year_week,week_start,total,positive,negative,avg_rating,neutral,satisfaction_rate,negative_rate
2025-W11,03/10,240,182,58,4.104166666666667,0,75.8,24.2
2025-W16,04/14,72,71,1,4.944444444444445,0,98.6,1.4
2025-W21,05/19,145,141,4,4.862068965517241,0,97.2,2.8
2025-W25,06/16,49,41,8,4.1020408163265305,0,83.7,16.3
2025-W29,07/14,101,90,11,4.435643564356436,0,89.1,10.9
2025-W33,08/11,17,6,11,2.9411764705882355,0,35.3,64.7
2025-W38,09/15,20,12,8,3.65,0,60.0,40.0
2025-W42,10/13,52,46,6,4.461538461538462,0,88.5,11.5
2025-W46,11/10,101,95,6,4.782178217821782,0,94.1,5.9
2025-W51,12/15,131,120,11,4.740458015267175,0,91.6,8.4
2026-W03,01/12,116,102,14,4.663793103448276,0,87.9,12.1
2026-W07,02/09,182,165,17,4.7032967032967035,0,90.7,9.3
2026-W08,02/16,20,20,0,5.0,0,100.0,0.0
2026-W09,02/23,24,24,0,5.0,0,100.0,0.0
2026-W10,03/02,4,4,0,5.0,0,100.0,0.0
2026-W11,03/09,31,31,0,4.967741935483871,0,100.0,0.0
